key,en,zh-Hant,zh-Hans,ja,ko,es,fr,de,pt,vi,ar,ru
stat.minVoidAttack,Min Void Attack,最小無相攻擊,,,최소 무상 공격,,,,,,,
stat.moBladeDmgBoost,Art of Mo Blade,陌刀武學增傷,,,맥도 피해 증가,,,,,,,
stat.momentum,Momentum,勢,,,기세,,,,,,,
stat.physDmgBonus,Phys DMG Bonus,外功傷害加成,,,외공 공격 증가,,,,,,,
stat.physicalDefense,Physical Defense,外功防禦,,,외공 방어력,,,,,,,
stat.power,Power,勁,,,내공,,,,,,,
stat.precision,Precision Rate,精準率,,,정확도,,,,,,,
stat.ropeDartDmgBoost,Art of Rope Dart,繩鏢武學增傷,,,승표 피해 증가,,,,,,,
stat.silkbindDmgBonus,Silkbind DMG Bonus,牽絲傷害加成,,,견사 공격 증가,,,,,,,
stat.silkbindHealingBonus,Silkbind Healing Bonus,,,,견사 치유 증가,,,,,,,
stat.silkbindPenetration,Silkbind Penetration,牽絲穿透,,,견사 관통,,,,,,,
stat.singleTargetMysticDmgBoost,Single-Target Mystic Skill DMG Boost,單體類奇術增傷,,,단일 비결 피해 증가,,,,,,,
stat.spearDmgBoost,Art of Spear,槍武學增傷,,,창 피해 증가,,,,,,,
stat.stonesplitDmgBonus,Stonesplit DMG Bonus,裂石傷害加成,,,열석 공격 증가,,,,,,,
stat.stonesplitPenetration,Stonesplit Penetration,裂石穿透,,,열석 관통,,,,,,,
stat.swordDmgBoost,Art of Sword,劍武學增傷,,,검 피해 증가,,,,,,,
stat.umbrellaDmgBoost,Art of Umbrella,傘武學增效,,,우산 피해 증가,,,,,,,
stat.vsBossDmg,vs Boss DMG,對首領單位增傷,,,보스 피해 증가,,,,,,,
system.abrasion,Abrasion,擦傷,,,찰과상,,,,,,,
system.affinity,Affinity,會意,,,각성 확률,,,,,,,
system.attunement.everspringMartialBoost,Everspring Umbrella - Martial Art Skill DMG Boost,醉夢遊春・武學技增傷,,,일장춘몽 - 무술 스킬 피해 증가,,,,,,,
system.attunement.everspringSpecialBoost,Everspring Umbrella - Special Skill DMG Boost,醉夢遊春・特殊技增傷,,,일장춘몽 - 특수 스킬 피해 증가,,,,,,,
system.attunement.formlessPenetration,Formless Penetration,無相穿透,,,무상관통,,,,,,,
system.attunement.heavenwillChargedBoost,Heavenwill Gauntlets - Charged Skill DMG Boost,天志垂象・蓄力技增傷,,,천지의 주먹 - 차지 스킬 피해 증가,,,,,,,
system.attunement.heavenwillLightVariedComboBoost,Heavenwill Gauntlets - Light Attack and Varied Combo DMG Boost,天志垂象・輕擊及派生技增傷,,,천지의 주먹 - 약공격 및 연계 스킬 피해 증가,,,,,,,
system.attunement.heavenwillMartialBoost,Heavenwill Gauntlets - Martial Art Skill DMG Boost,天志垂象・武學技增傷,,,천지의 주먹 - 무술 스킬 피해 증가,,,,,,,
system.attunement.panaceaMartialHealingBoost,Panacea Fan - Martial Art Skill Healing Boost,,,,,,,,,,,
system.attunement.phalanxbaneChargedBoost,Phalanxbane Blade - Charged Skill DMG Boost,十方破陣・蓄力技增傷,,,십방파진 - 차지 스킬 피해 증가,,,,,,,
system.attunement.phalanxbaneMartialBoost,Phalanxbane Blade - Martial Art Skill DMG Boost,十方破陣・武學技增傷,,,십방파진 - 무술 스킬 피해 증가,,,,,,,
system.attunement.physicalPenetration,Physical Penetration,外功穿透,,,외공 관통,,,,,,,
system.attunement.physicalResistance,Physical Resistance,外功抗性,,,외공 저항,,,,,,,
system.attunement.skygraspHeavyBoost,Skygrasp Rope Dart - Heavy Attack DMG Boost,千機索天・重擊增傷,,,천기의 사슬 - 강공격 피해 증가,,,,,,,
system.attunement.skygraspSpecialBoost,Skygrasp Rope Dart - Special Skill DMG Boost,千機索天・特殊技增傷,,,천기의 사슬 - 특수 스킬 피해 증가,,,,,,,
system.attunement.snowpartingChargedBoost,Snowparting Blade - Charged Skill DMG Boost,斬雪刀法・蓄力技增傷,,,만설의 참격 - 차지 스킬 피해 증가,,,,,,,
system.attunement.snowpartingMartialBoost,Snowparting Blade - Martial Art Skill DMG Boost,斬雪刀法・武學技增傷,,,만설의 참격 - 무술 스킬 피해 증가,,,,,,,
system.attunement.snowpartingVariedComboBoost,Snowparting Blade - Light/Heavy Attack Varied Combo DMG Boost,斬雪刀法・輕重擊派生技增傷,,,만설의 참격 - 약/강공격 연계 스킬 피해 증가,,,,,,,
system.attunement.soulshadeMartialHealingBoost,Soulshade Umbrella - Martial Art Skill Healing Boost,,,,소생의 향 - 무술 스킬 치유 증가,,,,,,,
system.attunement.stormbreakerChargedBoost,Stormbreaker Spear - Charged Skill DMG Boost,八方風雷槍・蓄力技增傷,,,풍뢰의 징표 - 차지 스킬 피해 증가,,,,,,,
system.attunement.stormbreakerSpecialBoost,Stormbreaker Spear - Special Skill DMG Boost,八方風雷槍・特殊技增傷,,,풍뢰의 징표 - 특수 스킬 피해 증가,,,,,,,
system.attunement.thundercryChargedBoost,Thundercry Blade - Charged Skill DMG Boost,嗟夫刀法・蓄力技增傷,,,탄식의 검기 - 차지 스킬 피해 증가,,,,,,,
system.attunement.thundercryShieldBoost,Thundercry Blade - Shield Boost,嗟夫刀法・護盾增效,,,탄식의 검기 - 보호막 효과 증가,,,,,,,
system.attunement.thundercrySpecialBoost,Thundercry Blade - Special Skill DMG Boost,嗟夫刀法・特殊技增傷,,,탄식의 검기 - 특수 스킬 피해 증가,,,,,,,
system.attunement.unfetteredChargedBoost,Unfettered Rope Dart - Charged Skill DMG Boost,粟子行雲・蓄力技增傷,,,운진의 궤적 - 차지 스킬 피해 증가,,,,,,,
system.attunement.unfetteredMartialBoost,Unfettered Rope Dart - Martial Art Skill DMG Boost,粟子行雲・武學技增傷,,,운진의 궤적 - 무술 스킬 피해 증가,,,,,,,
system.attunement.unfetteredSpecialBoost,Unfettered Rope Dart - Special Skill DMG Boost,粟子行雲・特殊技增傷,,,운진의 궤적 - 특수 스킬 피해 증가,,,,,,,
system.critical,Critical,會心,,,치명타 확률,,,,,,,
system.damageType.bamboocut,Bamboocut,破竹,,,파죽,,,,,,,
system.damageType.bellstrike,Bellstrike,鳴金,,,명금,,,,,,,
system.damageType.martialArts,Martial Arts,武學技能,,,무술,,,,,,,
system.damageType.mystic,Mystic,奇術,,,비결,,,,,,,
system.damageType.other,Other,其他,,,,,,,,,,
system.damageType.physical,Physical,外功,,,외공,,,,,,,
system.damageType.silkbind,Silkbind,牽絲,,,견사,,,,,,,
system.damageType.stonesplit,Stonesplit,裂石,,,열석,,,,,,,
system.dps,DPS,秒傷,,,,,,,,,,
system.gearRarity.gold,Gold,金,,,신화,,,,,,,
system.gearRarity.purple,Purple,紫,,,전설,,,,,,,
system.gearSlot.bracer,Bracer,腕甲,,,완갑,,,,,,,
system.gearSlot.chestpiece,Chestpiece,胸甲,,,흉갑,,,,,,,
system.gearSlot.disc,Disc,環,,,환,,,,,,,
system.gearSlot.greaves,Greaves,脛甲,,,경갑,,,,,,,
system.gearSlot.helmet,Helmet,冠冑,,,투구,,,,,,,
system.gearSlot.leftWeapon,Left Weapon,左武,,,왼쪽무기,,,,,,,
system.gearSlot.pendant,Pendant,佩,,,패물,,,,,,,
system.gearSlot.rightWeapon,Right Weapon,右武,,,오른쪽 무기,,,,,,,
system.hps,HPS,每秒治療,,,,,,,,,,
system.innerWay.adaptiveSteel,Adaptive Steel,移經易武,,,무공의 경지,,,,,,,
system.innerWay.artOfResistance,Art of Resistance,抗造大法,,,저항의 법칙,,,,,,,
system.innerWay.battleAnthem,Battle Anthem,威猛歌,,,맹수의 포효,,,,,,,
system.innerWay.bitterSeasons,Bitter Seasons,所恨年年,,,천추의 한,,,,,,,
system.innerWay.breakingPoint,Breaking Point,斷石之構,,,파괴의 서막,,,,,,,
system.innerWay.empiricalEdge,Empirical Edge,三窮致知,,,만물의 통찰,,,,,,,
system.innerWay.envigoratedWarrior,Envigorated Warrior,征人歸,,,생명의 귀환,,,,,,,
system.innerWay.exquisiteScenery,Exquisite Scenery,山河絕韻,,,지축의 분노,,,,,,,
system.innerWay.fivefoldBleed,Fivefold Bleed,極樂泣血,,,핏빛찬가,,,,,,,
system.innerWay.frostCladNight,Frost-Clad Night,霜天白夜,,,서리 백야,,,,,,,
system.innerWay.lightAndShadowAlike,Light and Shadow Alike,明晦同塵,,,빛과 그림자,,,,,,,
system.innerWay.moraleChant,Morale Chant,易水歌,,,결의의 노래,,,,,,,
system.innerWay.sandswirlTail,Sandswirl Tail,沙擺尾,,,사막의 춤,,,,,,,
system.innerWay.seasonalEdge,Seasonal Edge,四時無常,,,계절의 순환,,,,,,,
system.innerWay.shadowAssault,Shadow Assault,山月無影,,,월하의 섬광,,,,,,,
system.innerWay.skyGripped,Sky Gripped,擒天勢,,,속박의 기세,,,,,,,
system.innerWay.soaringHigh,Soaring High,扶搖直上,,,날아오르기,,,,,,,
system.innerWay.steadfastDevotion,Steadfast Devotion,孤忠不辭,,,외로운 충성,,,,,,,
system.innerWay.throatPiercingArt,Throat-Piercing Art,穿喉訣,,,관목결,,,,,,,
system.martialArt.everspringUmbrella,Everspring Umbrella,醉夢遊春,,,일장춘몽,,,,,,,
system.martialArt.heavenQuakerSpear,HeavenQuaker Spear,九曲驚神槍,,,격류의 파동,,,,,,,
system.martialArt.heavenwillGauntlets,Heavenwill Gauntlets,天志垂象,,,천지의 주먹,,,,,,,
system.martialArt.infernalTwinblades,Infernal Twinblades,泥犁三垢,,,윤회의 가르침,,,,,,,
system.martialArt.inkwellFan,Inkwell Fan,青山執筆,,,청산의 정수,,,,,,,
system.martialArt.mortalRopeDart,Mortal Rope Dart,粟子遊塵,,,속세의 지혜,,,,,,,
system.martialArt.namelessSpear,Nameless Spear,無名槍法,,,무명 창법,,,,,,,
system.martialArt.namelessSword,Nameless Sword,無名劍法,,,무명 검법,,,,,,,
system.martialArt.panaceaFan,Panacea Fan,明川藥典,,,천계의 수호,,,,,,,
system.martialArt.phalanxbaneBlade,Phalanxbane Blade,十方破陣,,,십방파진,,,,,,,
system.martialArt.skygraspRopeDart,Skygrasp Rope Dart,千機索天,,,천기의 사슬,,,,,,,
system.martialArt.snowpartingBlade,Snowparting Blade,斬雪刀法,,,만설의 참격,,,,,,,
system.martialArt.soulshadeUmbrella,Soulshade Umbrella,千香引魂蠱,,,소생의 향,,,,,,,
system.martialArt.stormbreakerSpear,Stormbreaker Spear,八方風雷槍,,,풍뢰의 징표,,,,,,,
system.martialArt.strategicSword,Strategic Sword,積矩九劍,,,구현의 검무,,,,,,,
system.martialArt.thundercryBlade,Thundercry Blade,嗟夫刀法,,,탄식의 검기,,,,,,,
system.martialArt.unfetteredRopeDart,Unfettered Rope Dart,粟子行雲,,,운진의 궤적,,,,,,,
system.martialArt.vernalUmbrella,Vernal Umbrella,九重春色,,,봄의 선율,,,,,,,
system.normal,Normal,普傷,,,일반,,,,,,,
system.path.deluge,Deluge,霖,,,림,,,,,,,
system.path.jade,Jade,玉,,,옥,,,,,,,
system.path.splendor,Splendor,虹,,,홍,,,,,,,
system.path.umbra,Umbra,影,,,영,,,,,,,
system.path.wind,Wind,風,,,풍,,,,,,,
system.resource.heavensWill,Heaven's Will,天志,,,천지,,,,,,,
system.resource.vitality,Vitality,精元,,,,,,,,,,
system.setPieces.0,0,0,,,,,,,,,,
system.setPieces.2,2,2,,,,,,,,,,
system.setPieces.4,4,4,,,,,,,,,,
system.totalDamage,Total Damage,總傷害,,,총 피해량,,,,,,,
system.totalHealing,Total Healing,總治療量,,,총 치유량,,,,,,,
system.weapon.dualBlades,Dual Blades,雙刀,,,쌍도,,,,,,,
system.weapon.fan,Fan,扇,,,부채,,,,,,,
system.weapon.gauntlet,Gauntlet,手甲,,,권갑,,,,,,,
system.weapon.hengBlade,Heng Blade,橫刀,,,횡도,,,,,,,
system.weapon.moBlade,Mo Blade,陌刀,,,맥도,,,,,,,
system.weapon.ropeDart,Rope Dart,繩鏢,,,승표,,,,,,,
system.weapon.spear,Spear,槍,,,창,,,,,,,
system.weapon.sword,Sword,劍,,,검,,,,,,,
system.weapon.umbrella,Umbrella,傘,,,우산,,,,,,,
ui.app.accuracyMatters,Accuracy matters.,準確性至關重要。,,,,,,,,,,
ui.app.actions,Actions,操作,,,,,,,,,,
ui.app.active,Active,使用中,,,활성화,,,,,,,
ui.app.activeRotation,Active rotation,使用中的循環,,,로테이션 활성화,,,,,,,
ui.app.add,Add,新增,,,추가,,,,,,,
ui.app.addAlternative,Add alternative,新增替代條件,,,대체 추가,,,,,,,
ui.app.addCondition,Add condition,新增條件,,,조건 추가,,,,,,,
ui.app.addEffect,Add effect,新增效果,,,효과 추가,,,,,,,
ui.app.addOr,Add OR,新增「或」,,,,,,,,,,
ui.app.addStack,Add stack,新增層數,,,,,,,,,,
ui.app.addStepBelow,Add step below,在下方新增步驟,,,,,,,,,,
ui.app.all,All,全部,,,전체,,,,,,,
ui.app.allConditionsMustPass,(all conditions must pass),（所有條件皆須符合）,,,,,,,,,,
ui.app.allStacks,All stacks,所有層數,,,,,,,,,,
ui.app.amount,Amount,數量,,,수량,,,,,,,
ui.app.andGroup,AND group,「且」群組,,,,,,,,,,
ui.app.armorSet,Armor Set,防具套裝,,,장비 세트,,,,,,,
ui.app.arsenal,Arsenal,武庫,,,무기고,,,,,,,
ui.app.attributeBonus,Attribute Bonus,屬性加成,,,속성 보너스,,,,,,,
ui.app.attributeResistance,Attribute Resistance:,屬性抗性：,,,속성 저항,,,,,,,
ui.app.attunementStats,Attunement Stats,定音,,,정음,,,,,,,
ui.app.attunementStatsPriority,Attunement Stats Priority,定音優先級,,,정음 중요도,,,,,,,
ui.app.authorGreydustWwmIgnGreydustDiscord,Author: greydust (WWM IGN) / greydust (Discord),作者：greydust（燕雲十六聲）／greydust（Discord）,,,,,,,,,,
ui.app.autoHp,Auto HP,自動氣血,,,,,,,,,,
ui.app.averageDps,Average DPS,平均秒傷,,,평균 DPS,,,,,,,
ui.app.averageHps,Average HPS,平均每秒治療,,,평균 HPS,,,,,,,
ui.app.averageStack,Average stack,平均層數,,,,,,,,,,
ui.app.avgCastTime,Avg Cast Time,平均施放時間,,,,,,,,,,
ui.app.baseAttributes,Base Attributes:,基礎屬性：,,,,,,,,,,
ui.app.bowRingSet,Bow/Ring Set,弓玦,,,활/깍지 세트,,,,,,,
ui.app.breakthrough,Breakthrough,突破,,,돌파 레벨,,,,,,,
ui.app.breakthroughDetails,Breakthrough details,突破詳情,,,돌파 상세,,,,,,,
ui.app.buff,Buff,增益,,,버프,,,,,,,
ui.app.buffCoverage,Buff Coverage,增益覆蓋率,,,,,,,,,,
ui.app.buffStacks,Buff stacks,增益層數,,,버프 스택,,,,,,,
ui.app.buffToApply,Buff to apply,要施加的增益,,,버프 추가,,,,,,,
ui.app.build,Build,配裝,,,빌드,,,,,,,
ui.app.buildSimulateAndOptimizeForWhereWindsMeet,"Build, simulate, and optimize for Where Winds Meet.",為《燕雲十六聲》建立配裝、模擬並最佳化。,,,,,,,,,,
ui.app.calculated,Calculated,計算值,,,계산됨,,,,,,,
ui.app.casts,Casts,施放次數,,,시전,,,,,,,
ui.app.castTime,Cast Time,施放時間,,,시전시간,,,,,,,
ui.app.category,Category,分類,,,카테고리,,,,,,,
ui.app.characterProfile,Character profile,角色設定檔,,,캐릭터 프로필,,,,,,,
ui.app.characterProfiles,Character Profiles,角色設定檔,,,캐릭터 프로필,,,,,,,
ui.app.characterStats,Character Stats,角色屬性,,,캐릭터 스탯,,,,,,,
ui.app.close,Close,關閉,,,닫기,,,,,,,
ui.app.closeCharacterProfiles,Close character profiles,關閉角色設定檔,,,닫기,,,,,,,
ui.app.closeReadableRotation,Close readable rotation,關閉易讀循環,,,닫기,,,,,,,
ui.app.coefficient,Coefficient,係數,,,계수,,,,,,,
ui.app.collapse,Collapse,收合,,,합산,,,,,,,
ui.app.combatPath,Combat path,戰鬥流派,,,전투 유파,,,,,,,
ui.app.commaSeparated,(comma separated),（以逗號分隔）,,,,,,,,,,
ui.app.cooldown,Cooldown,冷卻時間,,,쿨타임,,,,,,,
ui.app.copied,Copied,已複製,,,복사됨,,,,,,,
ui.app.copy,Copy,複製,,,복사,,,,,,,
ui.app.currentSelfHp,Current self HP,目前自身氣血,,,기초기혈최대치,,,,,,,
ui.app.damage,Damage,傷害,,,피해,,,,,,,
ui.app.damageTaken,Damage taken,承受傷害,,,받은 피해,,,,,,,
ui.app.debuff,Debuff,減益,,,디버프,,,,,,,
ui.app.debuffCoverage,Debuff Coverage,減益覆蓋率,,,,,,,,,,
ui.app.debuffStacks,Debuff stacks,減益層數,,,디버프 스택,,,,,,,
ui.app.debuffToApply,Debuff to apply,要施加的減益,,,디버프 추가,,,,,,,
ui.app.default,Default,預設,,,기본,,,,,,,
ui.app.defense,Defense:,防禦：,,,방어,,,,,,,
ui.app.delete,Delete,刪除,,,삭제,,,,,,,
ui.app.deleteNamedRotationConfirmation,Delete rotation “{name}”?,刪除循環「{name}」？,,,,,,,,,,
ui.app.deleteStack,Delete stack,刪除層數,,,,,,,,,,
ui.app.deleteStep,Delete step,刪除步驟,,,,,,,,,,
ui.app.description,Description,說明,,,설명,,,,,,,
ui.app.dev,Dev,開發模式,,,개발자 모드,,,,,,,
ui.app.direct,direct,直接,,,추가,,,,,,,
ui.app.distance,Distance,距離,,,거리,,,,,,,
ui.app.distanceAfterMove,Distance after move,移動後距離,,,이동 후 거리,,,,,,,
ui.app.divinecraft,Divinecraft,天工,,,천공,,,,,,,
ui.app.divinecraftUnavailableBadge,Not available yet,尚未開放,,,아직 출시 전,,,,,,,
ui.app.done,Done,完成,,,완료,,,,,,,
ui.app.dpsBreakdown,{dps} Breakdown,{dps}分析,,,{dps}분석,,,,,,,
ui.app.duplicate,Duplicate,複製,,,복제,,,,,,,
ui.app.duration,Duration,持續時間,,,길이,,,,,,,
ui.app.editRotationName,Edit rotation name,編輯循環名稱,,,로테이션 이름 수정,,,,,,,
ui.app.effect,Effect,效果,,,효과,,,,,,,
ui.app.effectiveAffinity,Effective Affinity,生效會意,,,적용 각성 확률,,,,,,,
ui.app.effectiveCritical,Effective Critical,生效會心,,,적용 치명타 확률,,,,,,,
ui.app.effectiveMaxAttack,Eff. Max {name} ATK,生效最大{name}攻擊,,,적용 최대 {name} 공격,,,,,,,
ui.app.effectiveMinAttack,Eff. Min {name} ATK,生效最小{name}攻擊,,,적용 최소 {name} 공격,,,,,,,
ui.app.effectiveNamedStat,Effective {name},生效{name},,,적용{name},,,,,,,
ui.app.effectivePrecision,Effective Precision,生效精準,,,적용 정확도,,,,,,,
ui.app.effects,Effects,效果,,,효과,,,,,,,
ui.app.effectValueType,Effect value type,效果值類型,,,효과값 타입,,,,,,,
ui.app.expand,Expand,展開,,,확장,,,,,,,
ui.app.expectedHawkwingStacks,Expected Hawkwing stacks,預期鷹揚層數,,,예상 속공 스택,,,,,,,
ui.app.export,Export,匯出,,,내보내기,,,,,,,
ui.app.finalAffinity,Final Affinity,最終會意,,,최종 각성 확률,,,,,,,
ui.app.finalCritical,Final Critical,最終會心,,,최종 치명타 확률,,,,,,,
ui.app.firstAvailable,First available,第一個可用項目,,,첫번째 활성화,,,,,,,
ui.app.firstTick,First Tick,首次觸發,,,첫번째 틱,,,,,,,
ui.app.food,Food,食物,,,음식,,,,,,,
ui.app.gearTier,Gear Tier:,裝備階級：,,,장비 티어,,,,,,,
ui.app.github,GitHub,Github,,,,,,,,,,
ui.app.globalBuffsDebuffs,Global Buffs/Debuffs,全局增減益,,,팀원 버프/디버프,,,,,,,
ui.app.graduationRate,Graduation Rate,,,,,,,,,,,
ui.app.graduationRateDescription,"Graduation Rate measures how close your build is to the theoretical best-in-slot (BiS) setup. Because different rotations can have different theoretical BiS setups, this value is only a rough estimate of your current build's progression. It is not intended for calculations or as a prediction of real-combat performance.",,,,,,,,,,,
ui.app.graduationRateDetails,Graduation Rate details,,,,,,,,,,,
ui.app.healing,Healing,治療量,,,힐링,,,,,,,
ui.app.heals,Heals,治療次數,,,치유,,,,,,,
ui.app.hits,Hits,命中次數,,,타격,,,,,,,
ui.app.hp,HP,氣血,,,기혈,,,,,,,
ui.app.import,Import,匯入,,,가져오기,,,,,,,
ui.app.importCharacterProfiles,Import character profiles,匯入角色資料,,,캐릭터 프로필 가져오기,,,,,,,
ui.app.importRotations,Import rotations,匯入循環,,,로테이션 가져오기,,,,,,,
ui.app.infiniteVitality,Infinite Vitality,無限精元,,,,,,,,,,
ui.app.innerWayNumber,Inner way {number},心法 {number},,,심법 {number},,,,,,,
ui.app.innerWays,Inner Ways,心法,,,심법,,,,,,,
ui.app.innerWaysPriority,Inner Ways Priority,心法優先級,,,심법 중요도,,,,,,,
ui.app.innerWayTierNumber,Inner way {number} tier,心法 {number} 階級,,,심법 {number} 티어,,,,,,,
ui.app.interval,Interval,間隔,,,간격,,,,,,,
ui.app.judgementResistance,Judgement Resistance:,裁決抗性：,,,저항판정,,,,,,,
ui.app.language,Language,語言,,,언어,,,,,,,
ui.app.layout,Layout,版面配置,,,레이아웃,,,,,,,
ui.app.load,Load,讀取,,,불러오기,,,,,,,
ui.app.m,m,公尺,,,미터,,,,,,,
ui.app.main,Main,主頁,,,메인,,,,,,,
ui.app.mainSections,Main sections,主要區段,,,메인 섹션,,,,,,,
ui.app.makeActive,Make Active,設為使用中,,,활성화하기,,,,,,,
ui.app.manualCopyInstruction,Select the text and copy it manually.,選取文字並手動複製。,,,텍스트를 선택하고 수동으로 복사하세요.,,,,,,,
ui.app.martialArtToSwitchTo,Martial art to switch to,要切換的武學,,,전환할 무술,,,,,,,
ui.app.maxRoll,Max Roll,最大數值,,,최대치,,,,,,,
ui.app.maxStack,Max Stack,最大層數,,,최대스택,,,,,,,
ui.app.mobile,Mobile,手機版,,,모바일,,,,,,,
ui.app.modifiers,Modifiers,修正項,,,수정,,,,,,,
ui.app.moveDown,Move down,下移,,,아래로,,,,,,,
ui.app.moveEventToNextAction,Move event to next action,將事件移至下一個動作,,,다음 작업으로 이동,,,,,,,
ui.app.moveEventToPreviousAction,Move event to previous action,將事件移至上一個動作,,,이전 작업으로 이동,,,,,,,
ui.app.moveStackDown,Move stack down,將層數下移,,,아래로 이동,,,,,,,
ui.app.moveStackUp,Move stack up,將層數上移,,,위로 이동,,,,,,,
ui.app.moveUp,Move up,上移,,,위로 이동,,,,,,,
ui.app.multiplier,Multiplier,乘數,,,승수,,,,,,,
ui.app.name,Name,名稱,,,이름,,,,,,,
ui.app.namedSkills,{name} skills,{name}技能,,,{name}스킬,,,,,,,
ui.app.newCharacterProfileName,New character profile name,新角色設定檔名稱,,,새로운 캐릭터 이름,,,,,,,
ui.app.newRotation,New Rotation,新循環,,,새로운 로테이션,,,,,,,
ui.app.no,No,否,,,아니오,,,,,,,
ui.app.noEffects,No effects,無效果,,,이펙트 없음,,,,,,,
ui.app.none,None,無,,,없음,,,,,,,
ui.app.noRequirements,No requirements,無需求,,,필수 조건 없음,,,,,,,
ui.app.noRotationsMatchTheSelectedMartialArtsAdd,No rotations match the selected martial arts. Add a rotation to begin.,沒有符合所選武學的循環。請新增循環以開始。,,,선택한 무술에 해당하는 로테이션이 없습니다. 시작하려면 로테이션을 추가하세요.,,,,,,,
ui.app.noStackEffectsYet,No stack effects yet.,尚無層數效果。,,,아직 스택 효과가 없습니다,,,,,,,
ui.app.notAvailableYet,Not available yet.,尚未開放。,,,아직 활성화 되지 않았습니다.,,,,,,,
ui.app.notSpecified,Not specified,未指定,,,미지정,,,,,,,
ui.app.off,Off,關閉,,,끄기,,,,,,,
ui.app.on,On,開啟,,,켜기,,,,,,,
ui.app.openTheRotationEditorToCalculatePriority,Open the Rotation Editor to calculate priority.,開啟循環編輯器以計算優先度。,,,우선순위를 계산하려면 로테이션 에디터를 엽니다.,,,,,,,
ui.app.openTheRotationEditorToCalculateTheActive,Open the Rotation Editor to calculate the active rotation.,開啟循環編輯器以計算使用中的循環。,,,로테이션 에디터를 열어 활성화된 로테이션을 계산합니다.,,,,,,,
ui.app.orGroup,OR group,「或」群組,,,,,,,,,,
ui.app.parameter,Parameter,參數,,,,,,,,,,
ui.app.pc,PC,電腦版,,,,,,,,,,
ui.app.perCast,Per Cast,每次,,,,,,,,,,
ui.app.perCastBreakdown,Per Cast Breakdown,每次施放分析,,,,,,,,,,
ui.app.percentage,Percentage,百分比,,,퍼센트,,,,,,,
ui.app.perSkillBreakdown,Per Skill Breakdown,每項技能分析,,,,,,,,,,
ui.app.physicalAndAttributeBreakdown,Physical and Attribute Breakdown,外功與屬性分析,,,,,,,,,,
ui.app.physicalBonus,Physical Bonus,外功固定加成,,,외공 보너스,,,,,,,
ui.app.physicalCoefficient,Physical Coefficient,外功係數,,,외공계수,,,,,,,
ui.app.physicalResistance,Physical Resistance:,外功抗性：,,,외공저항,,,,,,,
ui.app.plannerOnly,Planner Only,僅供規劃,,,개발자 전용,,,,,,,
ui.app.precision,Precision:,精準率：,,,정확도,,,,,,,
ui.app.profileImportError,The character profile file could not be imported.,無法匯入角色設定檔。,,,캐릭터 프로필 파일을 가져올 수 없습니다.,,,,,,,
ui.app.profileName,Profile name,設定檔名稱,,,프로필 이름,,,,,,,
ui.app.profiles,Profiles,設定檔,,,프로필,,,,,,,
ui.app.profileSaved,Saved {name}.,已儲存 {name}。,,,저장됨 {name}.,,,,,,,
ui.app.profilesExported,Exported {count} profiles.,已匯出 {count} 個設定檔。,,,{count} 프로필 가져와짐.,,,,,,,
ui.app.profilesImported,Imported {count} profiles.,已匯入 {count} 個設定檔。,,,{count} 프로필 내보내짐.,,,,,,,
ui.app.profilesSaveModifiedStatsAndTheCompleteMain,Profiles save modified stats and the complete Main-tab setup.,設定檔會儲存修改過的屬性及完整的主頁設定。,,,프로필에는 수정된 통계 정보와 ‘메인’ 탭의 전체 설정이 저장됩니다.,,,,,,,
ui.app.qi,Qi,真氣,,,진기,,,,,,,
ui.app.readableFormat,Readable Format,易讀格式,,,읽기모드,,,,,,,
ui.app.readableRotation,Readable rotation,易讀循環,,,로테이션 읽기모드,,,,,,,
ui.app.reapply,Reapply,重新施加,,,재추가,,,,,,,
ui.app.recalculatingProgress,Recalculating… {percentage}%,重新計算中… {percentage}%,,,다시계산중… {percentage}%,,,,,,,
ui.app.recordSaveError,Could not save this record.,無法儲存此項目。,,,이 기록을 저장할 수 없습니다.,,,,,,,
ui.app.refreshDuration,Refresh Duration,刷新持續時間,,,새로고침,,,,,,,
ui.app.remove,Remove,移除,,,제거,,,,,,,
ui.app.removeAlternative,Remove alternative,移除替代條件,,,대체 제거,,,,,,,
ui.app.removeCondition,Remove condition,移除條件,,,조건 제거,,,,,,,
ui.app.removeEffect,Remove effect,移除效果,,,효과 제거,,,,,,,
ui.app.removeNamedEffect,Remove {name},移除{name},,,{name} 제거,,,,,,,
ui.app.removeNamedRotation,Remove {name},移除{name},,,{name} 제거,,,,,,,
ui.app.removeRotation,Remove rotation,移除循環,,,로테이션 제거,,,,,,,
ui.app.removeThresholdNumber,Remove threshold {number},移除門檻 {number},,,임계값 {number} 제거,,,,,,,
ui.app.renameNamedProfile,Rename {name},重新命名{name},,,수정{name},,,,,,,
ui.app.reportAnyDamageDiscrepancy,Report any damage discrepancy.,請回報任何傷害差異。,,,잘못된 데미지 수치 제보하기,,,,,,,
ui.app.requirements,Requirements,需求,,,필요,,,,,,,
ui.app.reset,Reset,重設,,,리셋,,,,,,,
ui.app.resetArsenal,Reset Arsenal,重設武庫,,,무기고 리셋,,,,,,,
ui.app.resetBowRingSet,Reset Bow/Ring Set,重設弓／玦套裝,,,활/깍지 세트 리셋,,,,,,,
ui.app.resetInnerWays,Reset Inner Ways,重設心法,,,심법 리셋,,,,,,,
ui.app.resetNamedValue,Reset {name},重設{name},,,{name}리셋,,,,,,,
